State,District,Latitude,Longitude,District code,State name,Population,Male,Female,Literate,litracy_rate,Female_Literate,Male_Literate,Hindus,Muslims,Sikhs,Christians,Jains,Middle_Education,Female_Workers,Male_Workers,Household_Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Primary_Education,Higher_Education,SC,ST
Haryana,Jhajjar,28.59651868131869,76.61137142857145,83,HARYANA,958405,514667,443738,676091,71.0,276611,399480,945693,8247,1042,734,645,115794,76514,250020,9254,168558,5034,19241,109829,97457,170448,0
Haryana,Jind,29.45149821958457,76.29598575667653,77,HARYANA,1334152,713006,621146,832758,62.0,330709,502049,1276669,23016,29103,889,2594,151682,155145,368277,9114,222462,5263,23750,185626,107994,282351,0
Haryana,Kaithal,29.96068539094649,76.37698930041155,73,HARYANA,1074304,571003,503301,646529,60.0,260747,385782,974520,8232,87558,1769,351,124682,81203,292696,9450,187349,3724,15301,158239,82297,247513,0
Haryana,Karnal,29.703200647249204,76.87488025889972,74,HARYANA,1505324,797712,707612,978013,65.0,413497,564516,1341002,31650,126207,2049,1516,188040,104416,411646,15311,267223,11163,29253,231354,124790,339604,0
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,72,HARYANA,964655,510976,453679,646893,67.0,276065,370828,805175,15970,140395,1943,375,118107,68224,268556,6726,171908,7356,21951,145392,81964,215128,0
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,84,HARYANA,922088,486665,435423,630255,68.0,249815,380440,913251,5660,1737,301,644,126291,105649,232935,7639,135455,2624,13908,135849,94245,156314,0
Haryana,Panchkula,30.700897142857134,76.97173238095236,69,HARYANA,561293,299679,261614,405318,72.0,175456,229862,490702,23451,40951,2583,1626,60177,46614,164865,9870,103455,18615,32174,73584,48306,101830,0
Haryana,Panipat,29.34352134146342,76.92895914634147,75,HARYANA,1205437,646857,558580,786599,65.0,322463,464136,1083936,86622,25064,2261,4647,143466,83651,328667,15824,209965,10024,26719,170565,91756,206213,0
Haryana,Rewari,28.19164714828897,76.55956007604564,85,HARYANA,900332,474335,425997,636947,71.0,261494,375453,889133,5713,1804,701,1525,122617,102401,235326,9782,152651,5121,18092,120860,95807,182606,0
Haryana,Rohtak,28.892517647058817,76.53123235294117,82,HARYANA,1061204,568479,492725,747582,70.0,311557,436025,1043887,8185,3916,732,3491,140782,73321,272646,8521,193120,8482,27225,150903,109596,216889,0
Haryana,Sirsa,29.63583446327684,74.90970480225988,79,HARYANA,1295189,682582,612607,782897,60.0,325929,456968,940255,9524,338962,2186,2256,153263,132541,369462,11952,215527,6287,22706,201349,83373,387381,0
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,HIMACHAL PRADESH,381956,192764,189192,287620,75.0,132021,155599,371973,6984,2387,236,10,53515,94328,111543,2561,79146,1574,6281,59489,45695,98989,10693
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,CHHATTISGARH,2663629,1351574,1312055,1596560,60.0,664086,932474,2540763,57973,6373,20745,2357,337793,487730,715467,21658,519704,8566,30892,407692,152838,552992,498469
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,23,HIMACHAL PRADESH,519080,261320,257760,323842,62.0,137778,186064,479782,32455,2745,1559,57,67653,135244,158791,4521,96082,1615,5117,96789,40440,111690,135500
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,28,HIMACHAL PRADESH,454768,217070,237698,358091,79.0,177536,180555,449412,3711,591,243,293,72114,123207,118724,3347,104120,2521,7525,71107,64363,109256,3044
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,168,UTTAR PRADESH,1104285,593537,510748,653299,59.0,245174,408125,1010014,91269,196,814,41,211029,135128,308527,19876,55929,1196,11037,238344,59914,241198,474
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,24,HIMACHAL PRADESH,1510075,750591,759484,1152640,76.0,546197,606443,1461140,19797,8929,3023,194,223099,271414,403756,15662,330081,8053,22753,243617,192936,319385,84564
Himachal Pradesh,Kinnaur,31.60667184065933,78.51613736263741,34,HIMACHAL PRADESH,84121,46249,37872,60699,72.0,24002,36697,64732,448,249,485,29,11437,22410,33863,944,17865,354,2563,13749,7871,14750,48746
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,26,HIMACHAL PRADESH,437903,225452,212451,307672,70.0,133122,174550,415669,2974,1396,1568,94,61854,120255,148829,2707,91322,2623,7010,77363,39081,122659,16822
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,27,HIMACHAL PRADESH,999777,498065,501712,723747,72.0,330078,393669,981412,9460,4081,876,43,132147,275207,297464,7134,214491,5333,16401,159043,128549,293739,12787
